Step,Atom_i,Atom_j,Element_i,Element_j,Bond_type,Distance_A
2500,7,8,O,C,C-O,1.333032591499547
2500,8,9,C,O,C-O,1.2491020374653137
2500,8,10,C,H,C-H,1.1388336665202692
2600,1,2,H,C,C-H,1.1297410721045786
2600,2,3,C,O,C-O,1.2595052481033964
2600,2,4,C,O,C-O,1.3310820973929456
2600,4,5,O,H,O-H,1.029934760069782
2600,6,7,H,O,O-H,1.042777047119853
2600,7,8,O,C,C-O,1.3422975452558958
2600,8,9,C,O,C-O,1.2447796351161926
2600,8,10,C,H,C-H,1.1095847196136028
2700,1,2,H,C,C-H,1.1136601501355785
2700,2,3,C,O,C-O,1.248820647651216
2700,2,4,C,O,C-O,1.3254652202151505
2700,4,5,O,H,O-H,0.9857497704793037
2700,6,7,H,O,O-H,1.0219236419615703
2700,7,8,O,C,C-O,1.345244858752486
2700,8,9,C,O,C-O,1.2504549372128524
2700,8,10,C,H,C-H,1.1275581049329573
2800,1,2,H,C,C-H,1.1165618433387383
2800,2,3,C,O,C-O,1.239164500782684
2800,2,4,C,O,C-O,1.3152483643783777
2800,4,5,O,H,O-H,1.00438298472246
2800,6,7,H,O,O-H,1.073988924523899
2800,7,8,O,C,C-O,1.351690186396277
2800,8,9,C,O,C-O,1.25678951698365
2800,8,10,C,H,C-H,1.1240046886023205
2900,1,2,H,C,C-H,1.1092392077455604
2900,2,3,C,O,C-O,1.2310242402162512
2900,2,4,C,O,C-O,1.3034571416045873
2900,4,5,O,H,O-H,1.0017661852947528
2900,6,7,H,O,O-H,1.1078076277043765
2900,7,8,O,C,C-O,1.3547180703009776
2900,8,9,C,O,C-O,1.2391388420996237
2900,8,10,C,H,C-H,1.1337297826201804
3000,1,2,H,C,C-H,1.1137904740120548
3000,2,3,C,O,C-O,1.2231175577187992
3000,2,4,C,O,C-O,1.2958404261327863
3000,4,5,O,H,O-H,1.028888735481149
3000,6,7,H,O,O-H,1.1191439004882269
3000,7,8,O,C,C-O,1.3192703665284076
3000,8,9,C,O,C-O,1.250172936037251
3000,8,10,C,H,C-H,1.1373260702190904
3100,1,2,H,C,C-H,1.1122951631648854
3100,2,3,C,O,C-O,1.2273598738756295
3100,2,4,C,O,C-O,1.2959769480974577
3100,4,5,O,H,O-H,1.0167522657953623
3100,6,7,H,O,O-H,1.0493876928952435
3100,7,8,O,C,C-O,1.2998920493641006
3100,8,9,C,O,C-O,1.2258033529077976
3100,8,10,C,H,C-H,1.1219118325430033
3200,1,2,H,C,C-H,1.1164295365136143
3200,2,3,C,O,C-O,1.24692314117591
3200,2,4,C,O,C-O,1.2934942906715887
3200,4,5,O,H,O-H,1.0016809222501948
3200,6,7,H,O,O-H,0.9900216260264235
3200,7,8,O,C,C-O,1.2713812056185172
3200,8,9,C,O,C-O,1.2468251601567868
3200,8,10,C,H,C-H,1.1469352117709188
3300,1,2,H,C,C-H,1.1154452070810101
3300,2,3,C,O,C-O,1.2431599977476762
3300,2,4,C,O,C-O,1.3030148924705356
3300,4,5,O,H,O-H,1.033002100675501
3300,6,7,H,O,O-H,1.0790615969443074
3300,7,8,O,C,C-O,1.2669022732634114
3300,8,9,C,O,C-O,1.239750579753847
3300,8,10,C,H,C-H,1.0924548777867213
3400,1,2,H,C,C-H,1.1063078414257042
3400,2,3,C,O,C-O,1.2373346434978691
3400,2,4,C,O,C-O,1.2994982185443733
3400,4,5,O,H,O-H,1.1020278263274481
3400,6,7,H,O,O-H,1.122886450180961
3400,7,8,O,C,C-O,1.2742614880784873
3400,8,9,C,O,C-O,1.2202420128810514
3400,8,10,C,H,C-H,1.1639746603771057
3500,1,2,H,C,C-H,1.1323622918483296
3500,2,3,C,O,C-O,1.2120451022961145
3500,2,4,C,O,C-O,1.285626360961846
3500,4,5,O,H,O-H,1.1117559129593149
3500,6,7,H,O,O-H,1.0868874596755633
3500,7,8,O,C,C-O,1.282960431969748
3500,8,9,C,O,C-O,1.216471413556439
3500,8,10,C,H,C-H,1.0826951048194513
3600,1,2,H,C,C-H,1.1012120141008277
3600,2,3,C,O,C-O,1.2175092032506343
3600,2,4,C,O,C-O,1.2666977461099402
3600,4,5,O,H,O-H,0.9751307604624112
3600,6,7,H,O,O-H,1.0314701546821419
3600,7,8,O,C,C-O,1.2791131146227839
3600,8,9,C,O,C-O,1.216545819112456
3600,8,10,C,H,C-H,1.1572966689660869
3700,1,2,H,C,C-H,1.1405384737044162
3700,2,3,C,O,C-O,1.230159505917831
3700,2,4,C,O,C-O,1.2892399970525266
3700,4,5,O,H,O-H,0.9709233646380149
3700,6,7,H,O,O-H,1.0163252924138024
3700,7,8,O,C,C-O,1.2812647423542098
3700,8,9,C,O,C-O,1.2328132502532558
3700,8,10,C,H,C-H,1.1044199835207626
3800,1,2,H,C,C-H,1.1200864163090258
3800,2,3,C,O,C-O,1.2377868394840859
3800,2,4,C,O,C-O,1.3106412400042975
3800,4,5,O,H,O-H,1.0463518050827836
3800,6,7,H,O,O-H,0.9996577664380943
3800,7,8,O,C,C-O,1.2723267897831922
3800,8,9,C,O,C-O,1.22293820776031
3800,8,10,C,H,C-H,1.1150850819556317
3900,1,2,H,C,C-H,1.1460224517870485
3900,2,3,C,O,C-O,1.2559008161475167
3900,2,4,C,O,C-O,1.3230550404272683
3900,4,5,O,H,O-H,1.0669335546321512
3900,6,7,H,O,O-H,1.0490137939989148
3900,7,8,O,C,C-O,1.247311757340562
3900,8,9,C,O,C-O,1.237478129099662
3900,8,10,C,H,C-H,1.1108868439224595
